no,username,display_name,text,date,likes,reply_to,is_reply
1,akhwat_jalang,Akhwat_jalang,couple yg begini yg bikin aing baper dan percaya kalau pernikahan masih sangat mungkin semembahagiakan itu,2023-02-05T19:50:26.000Z,1943,,False
2,lesspalmlatte,lesspalmlatte,bahagia selalu kak 🥰,2023-02-05T18:56:23.000Z,135,,False
3,partohaps,paul partohap,im the luckiest,2023-02-05T18:54:19.000Z,390,,False
4,prisla.a,madam prisla🔮Tarot&Affirmasi,lucu bgtt 🥹🫶🏻,2023-02-05T19:30:18.000Z,475,,False
5,sopsopy7,Sopi sopiyah17,yang aku inginkan suatu hari nanti,2023-02-05T19:40:00.000Z,85,,False
6,lovelypenbilion,Rinn,bahagia terus kak git🥰,2023-02-05T18:52:44.000Z,67,,False
7,heyyu065,cayyakk,knpaaa gemasss sekali 🥺💗,2023-02-06T00:07:31.000Z,1,,False
8,cipakoceyak,little angel 🧸,lucuuu,2023-02-06T06:51:36.000Z,190,,False
9,silverbllt,pinkmarine,bahagia selalu kakak kakak,2023-02-05T20:56:11.000Z,22,,False
10,rubhn,Rubhn,stay healthy 🥰,2023-02-05T18:52:30.000Z,30,,False
11,ciill16,cii🌿,pengen kek giniii,2023-02-06T12:00:49.000Z,7,,False
12,sweetcinnamon44,🥧,kalian pernah berantem ga si,2023-02-05T20:29:13.000Z,3,,False
13,marsilalahi1,marsilalahi1,happy for u both polll and gittt 🤍,2023-02-05T20:05:38.000Z,1,,False
14,rriapuspitaa,✧･ﾟ: *rrrrriay✧･ﾟ:*,iya ka,2023-03-11T16:18:55.000Z,1,,False
15,imbih0ney,hanoi,hahahaha,2023-02-06T07:01:55.000Z,1,,False
16,selfhealingceritanya,✨,Masya Allah🥰,2023-02-05T20:18:05.000Z,4,,False
17,userqwertyyy__,User,Manifestingg🙏,2023-02-05T23:01:57.000Z,2,,False
18,nabintana,aliban,Manifesting on this,2023-02-05T20:41:46.000Z,2,,False
19,diahmadyapuspita,@diahmadyapuspitaツ,🥰🥰🥰🥰sehat slalu kak @gitasav,2023-03-26T11:36:03.000Z,1,lesspalmlatte,True
